respondent_id,survey_date,age,gender,education,employment_status,annual_income,region,city_type,customer_satisfaction,product_usage_frequency,experience_years,last_purchase_amount,nps_score,response_quality_score,response_time_seconds,sampling_weight
RESP_0040,2025-08-29 12:48:27.835629,37,Male,High School,Self-Employed,21060.528314001887,West,,6.2,5.0,2.7,38.97,9.0,87.5,18,0.7256557024927724
RESP_0041,2025-07-30 12:48:27.835629,43,Female,High School,Unemployed,80555.17088972387,North,Tier-3,7.2,8.0,0.8,351.43,8.0,70.2,6853,0.6530901322434952
RESP_0042,2025-07-28 12:48:27.835629,37,Male,Below High School,Self-Employed,44533.51810799899,North,Rural,9.9,9.0,3.1,89.29,8.0,76.9,205,1.6327253306087381
RESP_0043,2025-09-03 12:48:27.835629,33,Male,Bachelor,Employed,15000.0,West,Tier-3,6.1,4.0,1.2,137.84,9.0,91.3,151,0.7256557024927724
RESP_0044,2025-07-29 12:48:27.835629,31,Male,Bachelor,Self-Employed,75793.10854977426,Central,Tier-3,5.5,9.0,7.6,69.14,9.0,91.3,300,1.0159179834898815
RESP_0045,2025-08-31 12:48:27.835629,18,,Master,Self-Employed,42103.84337545308,West,Tier-2,5.9,6.0,3.2,401.02,10.0,68.2,236,1.0884835537391588
RESP_0046,2025-08-30 12:48:27.835629,26,Male,High School,Student,110479.58039665861,North,Tier-3,7.2,11.0,1.0,298.12,8.0,77.5,310,0.6530901322434952
RESP_0047,2025-10-02 12:48:27.835629,29,Male,Bachelor,Employed,40100.09334406483,North,Tier-1,7.9,9.0,1.9,89.58,4.0,68.8,216,0.6530901322434952
RESP_0048,2025-08-19 12:48:27.835629,47,Female,High School,Employed,,West,Tier-1,8.1,8.0,5.6,447.41,10.0,71.2,239,0.7256557024927724
RESP_0049,2025-07-22 12:48:27.835629,39,Female,Master,Self-Employed,30839.873731468717,North,Tier-1,8.2,8.0,1.2,51.93,,64.3,115,0.6530901322434952
RESP_0050,2025-09-13 12:48:27.835629,18,Male,Bachelor,Self-Employed,69087.9399895013,East,Tier-1,8.5,7.0,2.2,179.94,9.0,63.0,175,1.0884835537391588
RESP_0051,2025-09-23 12:48:27.835629,38,Male,,Employed,19602.460091981913,North,Metro,6.6,7.0,3.4,64.92,8.0,70.9,258,0.5224721057947963
RESP_0052,2025-08-01 12:48:27.835629,-4,Male,High School,Employed,25533.907922868006,North,Rural,10.0,7.0,4.2,214.35,10.0,84.5,189,1.6327253306087381
RESP_0053,2025-09-03 12:48:27.835629,26,,High School,Employed,30413.721053205827,West,Tier-1,6.5,,0.6,156.05,10.0,84.8,124,0.7256557024927724
RESP_0054,2025-07-27 12:48:27.835629,42,Male,Bachelor,Student,,West,Metro,7.2,12.0,2.5,80.66,2.0,67.7,235,0.580524561994218
RESP_0055,2025-09-25 12:48:27.835629,47,Female,Bachelor,Employed,19829.80247005662,South,Tier-1,8.9,11.0,7.3,246.74,8.0,77.2,92,0.7256557024927724
RESP_0056,2025-08-23 12:48:27.835629,46,Female,Bachelor,Retired,41690.98316887395,North,Metro,7.8,7.0,10.4,95.93,4.0,86.4,150,0.5224721057947963
RESP_0057,2025-10-05 12:48:27.835629,172,Female,High School,Employed,95033.25843661901,West,Metro,3.6,4.0,3.2,21.45,3.0,77.2,270,0.580524561994218
RESP_0058,2025-10-04 12:48:27.835629,31,Male,Master,Retired,46803.702300806544,North,Metro,7.0,14.0,12.3,49.89,7.0,38.2,472,0.5224721057947963
RESP_0059,2025-09-01 12:48:27.835629,38,Female,High School,Student,2392159.723134078,East,Tier-1,8.3,10.0,2.5,177.43,3.0,87.4,44,0.7256557024927724
RESP_0060,2025-09-28 12:48:27.835629,46,Female,PhD,Employed,18675.791292147205,Central,Tier-1,5.0,11.0,1.8,198.42,9.0,90.1,13,1.0159179834898815
RESP_0061,2025-08-10 12:48:27.835629,29,Female,High School,Student,87214.71357977772,North,Tier-3,8.1,5.0,2.4,119.29,10.0,70.4,270,0.6530901322434952
RESP_0062,2025-10-15 12:48:27.835629,32,,Bachelor,Employed,51369.731669308574,Central,Tier-2,7.6,13.0,0.4,642.94,8.0,90.6,110,1.0159179834898815
RESP_0063,2025-07-25 12:48:27.835629,21,Prefer not to say,High School,Retired,,North,Tier-1,8.8,8.0,1.5,314.72,5.0,86.2,90,1.9592703967304859
RESP_0064,2025-07-22 12:48:27.835629,20,Male,Master,Self-Employed,74527.14995814413,,Tier-1,6.0,5.0,1.8,333.03,9.0,84.3,81,1.0884835537391588
RESP_0065,2025-10-09 12:48:27.835629,44,Male,Bachelor,Employed,56821.022416925654,South,Tier-1,8.5,7.0,5.7,108.59,9.0,54.1,295,0.7256557024927724
RESP_0066,2025-08-15 12:48:27.835629,51,Male,Unknown Degree,Self-Employed,18942.734257691332,Central,Tier-3,7.2,8.0,4.3,96.48,9.0,90.2,100,1.0159179834898815
RESP_0067,2025-08-23 12:48:27.835629,34,,High School,Retired,33486.491409723174,South,Metro,9.6,10.0,2.8,283.05,8.0,78.5,51,0.580524561994218
RESP_0068,2025-07-27 12:48:27.835629,47,Male,High School,Employed,24484.163931571762,South,Metro,10.0,5.0,1.3,195.81,9.0,75.8,203,0.580524561994218
RESP_0069,2025-08-15 12:48:27.835629,39,Male,High School,Self-Employed,298591.0982509942,Central,Tier-3,9.3,5.0,0.6,303.01,5.0,65.1,150,1.0159179834898815
RESP_0070,2025-07-29 12:48:27.835629,27,Male,PhD,Unemployed,55569.84108261713,East,Tier-1,7.7,,1.3,193.74,10.0,88.8,137,0.7256557024927724
RESP_0071,2025-09-03 12:48:27.835629,39,Male,Bachelor,Student,42167.693243402544,East,Metro,10.0,5.0,3.4,413.09,10.0,67.7,31,0.580524561994218
RESP_0072,2025-08-21 12:48:27.835629,53,Female,Master,Employed,53004.412557012234,South,Metro,7.9,12.0,0.9,248.6,10.0,82.0,141,0.580524561994218
RESP_0073,2025-09-13 12:48:27.835629,34,Female,Bachelor,Employed,109461.70823077453,West,Rural,5.6,2.0,1.7,214.56,6.0,73.9,176,1.8141392562319312
RESP_0074,2025-10-06 12:48:27.835629,53,Male,Bachelor,Employed,33972.13417435473,North,Tier-3,6.9,7.0,1.5,352.96,9.0,64.4,163,0.6530901322434952
RESP_0075,2025-09-01 12:48:27.835629,18,Male,High School,Self-Employed,22653.56608823296,North,Tier-2,8.1,9.0,4.4,702.96,8.0,68.7,59,0.9796351983652429
RESP_0076,2025-08-06 12:48:27.835629,44,Female,High School,Employed,71355.27721067783,East,Tier-1,8.2,9.0,6.5,395.68,8.0,87.8,159,0.7256557024927724
RESP_0077,2025-09-02 12:48:27.835629,36,Male,Master,Retired,31572.58144700846,South,Tier-1,5.3,7.0,3.6,75.03,9.0,79.3,103,0.7256557024927724
RESP_0078,2025-08-31 12:48:27.835629,31,Male,PhD,Employed,,Central,Rural,5.4,10.0,1.3,209.57,1.0,70.7,324,2.5397949587247037
RESP_0079,2025-08-12 12:48:27.835629,36,Other,High School,Self-Employed,15000.0,Central,Rural,6.5,8.0,1.7,215.17,7.0,96.3,131,5.0795899174494075
RESP_0080,2025-10-10 12:48:27.835629,18,Female,High School,Employed,123430.95879977471,West,Metro,7.8,10.0,0.5,309.01,9.0,73.8,113,0.8707868429913271
RESP_0081,2025-08-20 12:48:27.835629,32,Male,Bachelor,Employed,40348.74835584958,West,Tier-3,8.0,10.0,0.6,176.48,9.0,91.2,106,0.7256557024927724
RESP_0082,2025-10-14 12:48:27.835629,39,Female,Below High School,Employed,22659.76339059299,West,Metro,,,0.5,242.9,9.0,87.6,113,0.580524561994218
RESP_0083,2025-10-12 12:48:27.835629,52,Male,High School,Employed,30107.57472786255,North,Metro,5.7,4.0,0.4,258.14,5.0,84.4,63,0.5224721057947963
RESP_0084,2025-10-07 12:48:27.835629,28,Female,Bachelor,Self-Employed,69283.06440325346,West,Tier-2,9.6,7.0,0.6,297.01,9.0,84.0,157,0.7256557024927724
RESP_0085,2025-07-26 12:48:27.835629,25,Male,Master,Student,28717.891000234962,North,Tier-1,5.4,7.0,0.7,74.58,4.0,77.4,71,0.9796351983652429
RESP_0086,2025-10-02 12:48:27.835629,28,Male,High School,Self-Employed,15000.0,South,Rural,9.0,8.0,0.4,85.25,9.0,91.3,104,1.8141392562319312
RESP_0087,2025-10-06 12:48:27.835629,186,Male,High School,Retired,47130.3611020439,West,Metro,8.1,4.0,3.1,848.36,6.0,93.3,223,0.580524561994218
RESP_0088,2025-08-07 12:48:27.835629,38,Female,Bachelor,Student,,East,Tier-1,8.9,9.0,13.9,28.78,9.0,79.8,238,0.7256557024927724
RESP_0089,2025-09-23 12:48:27.835629,28,Female,Master,Self-Employed,90506.00258348299,Central,Rural,6.3,13.0,6.3,255.94,7.0,83.8,146,2.5397949587247037
RESP_0090,2025-08-17 12:48:27.835629,41,Male,High School,Student,23214.58559357375,North,Rural,6.8,8.0,0.1,395.53,10.0,84.4,282,1.6327253306087381
RESP_0091,2025-08-06 12:48:27.835629,36,,Bachelor,Self-Employed,100241.55730031534,West,Metro,7.1,9.0,1.7,101.18,8.0,84.9,161,0.580524561994218
RESP_0092,2025-09-14 12:48:27.835629,46,Female,Bachelor,,43060.43955953927,North,Tier-1,6.3,10.0,,552.97,8.0,66.7,314,0.6530901322434952
RESP_0093,2025-09-03 12:48:27.835629,26,Male,Bachelor,Unemployed,98019.12337571828,West,Tier-2,7.3,,0.4,250.17,7.0,63.9,166,0.7256557024927724
RESP_0094,2025-08-20 12:48:27.835629,31,Male,Bachelor,Employed,57466.0503663155,West,Metro,,6.0,5.6,717.97,9.0,78.7,87,0.580524561994218
RESP_0095,2025-10-06 12:48:27.835629,30,Other,Bachelor,Self-Employed,,East,Rural,5.1,,2.7,110.09,8.0,60.6,447,3.6282785124638623
RESP_0096,2025-10-13 12:48:27.835629,18,Male,Bachelor,Unemployed,146882.92942631085,South,Rural,6.0,10.0,8.0,211.46,0.0,80.9,97,2.721208884347897
RESP_0097,2025-09-26 12:48:27.835629,38,Female,Bachelor,Employed,37851.54514777944,North,Metro,5.9,7.0,6.3,162.97,8.0,90.4,266,0.5224721057947963
RESP_0098,2025-08-14 12:48:27.835629,38,Other,Bachelor,Employed,57609.056148802294,North,Metro,6.9,9.0,3.4,144.55,9.0,85.4,242,1.0449442115895926
RESP_0099,2025-10-12 12:48:27.835629,35,Male,Bachelor,Student,15000.0,West,Metro,6.8,11.0,3.2,151.94,5.0,83.4,178,0.580524561994218
RESP_0100,2025-08-27 12:48:27.835629,32,Male,Master,Self-Employed,54407.71268337185,Central,Rural,14.191209488834431,7.0,0.7,187.13,5.0,78.4,103,2.5397949587247037
RESP_0101,2025-07-24 12:48:27.835629,18,Male,High School,Employed,87758.34058335143,North,,7.1,8.0,0.4,175.78,8.0,84.5,169,0.9796351983652429
RESP_0102,2025-08-15 12:48:27.835629,29,Female,Master,Self-Employed,170801.31669238882,West,Tier-1,7.5,9.0,1.6,428.27,9.0,73.8,138,0.7256557024927724
RESP_0103,2025-07-21 12:48:27.835629,30,Female,Master,Self-Employed,111337.32498828713,Central,Tier-1,7.6,9.0,0.6,403.98,6.0,93.1,83,1.0159179834898815
RESP_0104,2025-08-26 12:48:27.835629,25,Female,High School,Employed,-3876.952604077356,East,Tier-2,7.4,5.0,0.3,55.1,10.0,66.5,150,1.0884835537391588
RESP_0105,2025-09-06 12:48:27.835629,33,Male,Bachelor,Retired,15000.0,West,Metro,8.1,10.0,1.1,,10.0,93.5,114,0.580524561994218
RESP_0106,2025-08-20 12:48:27.835629,39,Female,Bachelor,Self-Employed,40369.03188051036,West,Metro,6.8,8.0,5.9,320.52,5.0,99.8,165,0.580524561994218
RESP_0107,2025-07-25 12:48:27.835629,57,Female,High School,Employed,22606.49080597934,South,Rural,9.5,11.0,0.1,299.19,6.0,,85,2.3583810331015105
RESP_0108,2025-08-13 12:48:27.835629,37,Female,Bachelor,Student,43825.99002071789,South,Rural,10.0,8.0,1.0,202.68,9.0,,141,1.8141392562319312
RESP_0109,2025-09-27 12:48:27.835629,38,Female,High School,Student,15000.0,North,Tier-3,8.1,5.0,1.7,242.14,10.0,68.5,221,0.6530901322434952
RESP_0110,2025-08-26 12:48:27.835629,34,Female,High School,Employed,30695.350535981877,Central,Metro,7.3,9.0,2.1,179.66,9.0,62.2,154,0.8127343867919051
RESP_0111,2025-08-13 12:48:27.835629,18,Female,Master,Employed,,Central,Tier-1,7.9,9.0,0.6,455.02,7.0,72.8,221,1.523876975234822
RESP_0112,2025-10-08 12:48:27.835629,34,Female,High School,Employed,23422.84050470918,West,Tier-2,5.3,9.0,10.0,421.14,5.0,80.0,245,0.7256557024927724
RESP_0113,2025-09-18 12:48:27.835629,35,Male,Master,Self-Employed,23609.65579532976,North,Metro,7.3,5.0,2.6,191.74,7.0,57.3,108,0.5224721057947963
RESP_0114,2025-09-05 12:48:27.835629,64,Male,Bachelor,Self-Employed,32575.51550007775,East,Rural,5.9,10.0,2.2,233.1,,89.1,76,2.3583810331015105
RESP_0115,2025-10-07 12:48:27.835629,32,Female,Master,Self-Employed,45658.990338643736,North,Tier-2,7.8,10.0,0.0,192.31,6.0,91.3,189,0.6530901322434952
RESP_0116,2025-09-13 12:48:27.835629,38,Male,Bachelor,Retired,15000.0,North,Metro,5.9,9.0,2.0,218.07,8.0,,73,0.5224721057947963
RESP_0117,2025-08-04 12:48:27.835629,34,Female,High School,Unemployed,15000.0,West,Rural,6.5,8.0,5.5,503.56,4.0,98.3,87,1.8141392562319312
RESP_0118,2025-08-19 12:48:27.835629,20,Prefer not to say,Bachelor,Employed,27696.101108490286,Central,Rural,4.2,8.0,0.7,175.76,7.0,65.8,166,7.61938487617411
RESP_0119,2025-08-03 12:48:27.835629,48,Female,High School,,31001.310731524176,Central,Metro,5.2,10.0,1.3,145.64,3.0,89.5,167,0.8127343867919051
RESP_0120,2025-08-17 12:48:27.835629,44,Male,Bachelor,Employed,42247.014741503124,West,Tier-1,7.5,10.0,0.1,231.85,2.0,90.4,102,0.7256557024927724
RESP_0121,2025-09-26 12:48:27.835629,44,Male,Master,Employed,20289.567488668687,North,Tier-1,5.7,3.0,11.3,190.74,9.0,86.1,113,0.6530901322434952
RESP_0122,2025-09-23 12:48:27.835629,24,Male,High School,Self-Employed,,South,Tier-1,8.6,14.0,0.2,127.8,5.0,96.5,18,1.0884835537391588
RESP_0123,2025-08-19 12:48:27.835629,51,Female,Bachelor,Student,40183.77410967698,South,Metro,5.6,11.0,6.9,382.63,8.0,81.1,358,0.580524561994218
RESP_0124,2025-09-29 12:48:27.835629,18,Female,Bachelor,Employed,20178.107781867813,West,Tier-2,7.7,8.0,1.1,412.85,4.0,85.1,73,1.0884835537391588
RESP_0125,2025-09-09 12:48:27.835629,42,Female,Master,Self-Employed,81696.3543450505,West,Rural,5.9,8.0,2.7,267.07,6.0,92.5,101,1.8141392562319312
RESP_0126,2025-09-29 12:48:27.835629,61,Male,Bachelor,Unemployed,41839.20297338375,South,Tier-1,7.6,8.0,3.4,139.52,7.0,80.5,129,0.9433524132406043
RESP_0127,2025-09-06 12:48:27.835629,23,Female,High School,Employed,56250.42504370392,South,Metro,4.7,9.0,0.5,456.87,4.0,89.0,250,0.8707868429913271
RESP_0128,2025-09-01 12:48:27.835629,28,Female,Bachelor,Employed,38371.742106079124,North,Tier-2,6.3,12.0,1.8,81.49,2.0,75.7,165,0.6530901322434952
RESP_0129,2025-08-14 12:48:27.835629,36,Male,High School,Employed,195426.27600450895,South,Tier-1,5.7,13.0,1.2,204.81,10.0,93.5,248,0.7256557024927724
RESP_0130,2025-08-03 12:48:27.835629,28,,Bachelor,Employed,58519.63718649153,East,Tier-3,,11.0,0.2,830.44,0.0,80.9,234,0.7256557024927724
RESP_0131,2025-09-20 12:48:27.835629,18,Male,PhD,,24577.959057747998,North,Tier-1,7.7,7.0,5.4,271.77,2.0,98.8,510,0.9796351983652429
RESP_0132,2025-09-18 12:48:27.835629,35,Male,Bachelor,Employed,70036.61862711425,East,Metro,5.2,7.0,0.1,184.32,9.0,82.0,139,0.580524561994218
RESP_0133,2025-07-28 12:48:27.835629,22,,Master,Employed,15000.0,Central,Metro,6.7,5.0,3.2,333.09,6.0,74.7,204,1.2191015801878575
RESP_0134,2025-07-23 12:48:27.835629,40,,High School,Employed,39961.83729798961,East,Tier-3,5.8,6.0,1.1,332.79,9.0,92.0,108,0.7256557024927724
RESP_0135,2025-07-31 12:48:27.835629,23,Female,Bachelor,Retired,46879.147158485655,North,Metro,8.4,3.0,0.6,541.03,4.0,80.5,5170,0.7837081586921943
RESP_0136,2025-08-05 12:48:27.835629,53,Female,Master,Employed,40328.617583707804,North,Tier-3,8.9,,3.3,120.15,5.0,72.8,287,0.6530901322434952
RESP_0137,2025-10-05 12:48:27.835629,25,Female,High School,Employed,27805.16026034125,East,Metro,4.8,13.0,2.6,341.48,8.0,61.2,119,0.8707868429913271
RESP_0138,2025-08-06 12:48:27.835629,31,Male,Master,Employed,16158.173739679352,South,Tier-1,8.2,7.0,1.1,231.64,10.0,91.2,145,0.7256557024927724
RESP_0139,2025-10-12 12:48:27.835629,44,Female,High School,Employed,,South,Tier-1,5.8,7.0,2.2,253.82,3.0,80.3,232,0.7256557024927724
RESP_0140,2025-09-09 12:48:27.835629,20,Female,Bachelor,Employed,39405.470585601135,East,Rural,6.6,11.0,0.8,225.1,7.0,83.2,236,2.721208884347897
RESP_0141,2025-10-01 12:48:27.835629,37,Female,Master,Self-Employed,15000.0,East,Rural,7.0,6.0,6.0,222.17,2.0,74.1,74,1.8141392562319312
RESP_0142,2025-07-25 12:48:27.835629,50,Male,Bachelor,Employed,149661.90950668155,West,Metro,9.7,9.0,1.1,56.13,5.0,78.8,65,0.580524561994218
RESP_0143,2025-09-04 12:48:27.835629,18,Male,High School,Employed,15000.0,South,,5.5,13.0,0.8,169.05,10.0,77.5,226,1.0884835537391588
RESP_0144,2025-09-03 12:48:27.835629,37,Female,Bachelor,Student,28036.140975009646,West,Metro,,11.0,4.2,226.59,3.0,84.4,565,0.580524561994218
RESP_0145,2025-10-01 12:48:27.835629,38,Male,Bachelor,Employed,,South,Tier-1,5.2,11.0,0.1,310.91,9.0,74.7,80,0.7256557024927724
RESP_0146,2025-09-14 12:48:27.835629,44,Female,Master,Employed,54498.95151811918,North,Tier-1,5.1,8.0,0.9,255.23,5.0,76.4,276,0.6530901322434952
RESP_0147,2025-09-22 12:48:27.835629,20,Female,Bachelor,Employed,17452.884558651604,East,Rural,,12.0,1.4,247.8,9.0,,198,2.721208884347897
RESP_0148,2025-08-18 12:48:27.835629,19,Female,High School,Retired,89988.38047197433,East,Rural,7.0,12.0,6.4,362.53,,86.8,112,2.721208884347897
RESP_0149,2025-09-25 12:48:27.835629,41,Female,Bachelor,Employed,15000.0,Central,Tier-1,2.8,15.0,9.0,608.72,10.0,70.0,171,1.0159179834898815
RESP_0150,2025-07-18 12:48:27.835629,38,Female,Bachelor,Student,23088.666054546728,West,Tier-1,8.7,4.0,3.8,203.85,4.0,86.3,129,0.7256557024927724
RESP_0151,2025-10-12 12:48:27.835629,38,Female,Bachelor,Unemployed,1725003.9690630264,Central,Tier-3,3.8,6.0,2.0,118.6,9.0,71.4,157,1.0159179834898815
RESP_0152,2025-07-31 12:48:27.835629,39,Female,Bachelor,Employed,83462.34506604073,Central,Tier-3,6.8,5.0,3.1,453.28,8.0,77.7,261,1.0159179834898815
RESP_0153,2025-10-12 12:48:27.835629,26,Female,Master,Retired,2201890.969075438,West,Metro,9.0,8.0,1.6,338.89,8.0,74.6,231,0.580524561994218
RESP_0154,2025-09-23 12:48:27.835629,37,Male,Bachelor,Employed,301350.5344208731,East,Tier-1,10.0,10.0,1.1,191.74,9.0,87.1,239,0.7256557024927724
RESP_0155,2025-08-20 12:48:27.835629,38,Male,Bachelor,Employed,17712.161082832008,East,Tier-1,6.5,7.0,9.0,462.23,8.0,96.7,149,0.7256557024927724
RESP_0156,2025-10-07 12:48:27.835629,26,Female,High School,Student,15000.0,Central,Metro,4.9,7.0,0.4,115.18,10.0,73.6,192,0.8127343867919051
RESP_0157,2025-08-29 12:48:27.835629,57,,High School,Unemployed,54294.15804134535,West,Metro,8.9,3.0,1.3,205.13,7.0,77.9,458,0.7546819305924835
RESP_0158,2025-07-31 12:48:27.835629,40,Male,High School,Self-Employed,27484.163282485664,North,Metro,8.3,10.0,6.9,186.56,8.0,51.8,115,0.5224721057947963
RESP_0159,2025-08-23 12:48:27.835629,20,Male,,Employed,24420.009824253644,West,Tier-2,6.3,9.0,3.9,477.92,10.0,83.7,172,1.0884835537391588
RESP_0160,2025-09-10 12:48:27.835629,42,Female,Bachelor,Employed,58484.39503259099,North,Metro,6.1,8.0,0.1,295.34,5.0,88.7,208,0.5224721057947963
RESP_0161,2025-08-06 12:48:27.835629,23,Female,Bachelor,Unemployed,15000.0,East,Metro,5.9,9.0,0.1,86.79,7.0,78.3,68,0.8707868429913271
RESP_0162,2025-09-13 12:48:27.835629,44,Female,Bachelor,Employed,15000.0,North,Metro,6.5,7.0,2.2,1007.88,10.0,76.6,177,0.5224721057947963
